Degree,Error,Time (s)
50,49.49572701216694,0.19064617156982422
60,0.0017541881344628751,0.17329692840576172
70,1.5779511181035488e-07,0.20010995864868164
80,1.354433700195834e-07,0.22832894325256348
90,1.354433700195834e-07,0.26107287406921387
100,1.354433700195834e-07,0.4347081184387207
